i feel so enraged but helpless at the same time,0
i said feeling a bit rebellious,0
i woke up feeling particularly vile tried to ignore it but it got worse and worse and worse,0
i could feel the vile moth burrowing its way into my brain seeking my brain as a means to control and enslave me just as those nasty bug things did to chekov in star trek the wrath of khan,0
i have a pretty bad feeling the last two books will be rushed in terms of story,0
im looking right now so desperately looking for a creative project that i feel like i have had a hand in that i need to sit and write my fucking mother fucker of a fuck fuckers fucked play before i feel satisfied doing anything else,0
i feel sickened by and disgusted with the sins of man despite my divinity i feel sickened by and disgusted with the sins of man,0
i hated growing up i have no good memories of a life as an innocent child only the feeling of being hated and worthlessness consume the memories,0
when my kid brother broke my reading spectacles,0
i want to be generous but sometimes i feel greedy,0
i feel like talking in a snobbish uppity accent and responding with let me just say a lot while flipping my hair and then trying to pull the cheese wiz out of it,0
i know i feel agitated like the volcanos sudden movement i am thinking why cant i stop,0
i keep cards they are also leaves of past i would feel heartless to throw them away,0
i feel dissatisfied since ive been doing nothing,0
i was feeling rather agitated over something as i was departed home and yet i couldn t attest to any particular reason why i was experiencing such erratic type of emotions at that time,0
i feel bothered at the fact that some of us have been given so many chances but i don t see the least bit of appreciation and utter gratefulness downright from their souls,0
i feel rather disgusted after seeing his photography,0
i was feeling jealous and i said no im not jealous because i know where i stand,0
i feel like a petty girl whos wasting her time on a lost cause,0
i feel so angry at myself,0
i feel that these types of people are the most dangerous in any situation,0
it was in march when one of my fellow students borrowed my wristwatch and after sometime he broke a glass of that watch i got angry when he was telling me but the 0 didnt take long to fade,0
i feel enraged when some people are happy,0
i get that kind of pressure i start to feel irritated and i can quickly get angry and snappish,0
i am not angry or feeling jealous or envious with what actually took place just now but i was just being a lost n upset girl wondering some things that i should not be thinking not at this moment n never will,0
i am feeling quite cold,0
i know i am feeling frustrated and venting all my energy onto something that is very likely explain if i could look beyond the surface,0
im feeling hostile and irritated,0
i had a feeling she hated the new litter we got we get costco brand and she dislikes julius using the same box,0
i just get so attached to the guy im dating usually though its not this bad but iv been so emotional this last year that i just feel greedy and selfish for wanting him here at this very moment,0
im fairly certain that part of the reason i always choose awful frames is because i feel so rushed,0
i have 5d not feeling rushed here,0
